date,time,product,now_weight,req_weight,final_weight,task_state,reason
2026-09-17,14:03:04,KRISCO,171.0,60.0,161.5,Sucess,[outfeed] Oven request to stop
2026-09-17,14:13:35,KRISCO,160.5,60.0,151.5,Sucess,[outfeed] Oven request to stop
2026-09-17,14:31:52,KRISCO,151.5,60.0,142.0,Sucess,[outfeed] Oven request to stop
2026-09-17,14:44:55,KRISCO,142.0,60.0,133.0,Sucess,[outfeed] Oven request to stop
2026-09-17,14:58:29,KRISCO,133.5,60.0,124.5,Sucess,[outfeed] Oven request to stop
2026-09-17,15:11:32,KRISCO,124.5,60.0,115.5,Sucess,[outfeed] Oven request to stop
2026-09-17,15:24:12,KRISCO,115.5,60.0,106.5,Sucess,[outfeed] Oven request to stop
2026-09-17,15:35:54,KRISCO,106.5,60.0,98.0,Sucess,[outfeed] Oven request to stop
2026-09-17,15:38:28,KRISCO,99.5,180.0,180.0,Sucess,[Infeed] Required weight reached
2026-09-17,15:47:31,KRISCO,180.5,60.0,170.5,Sucess,[outfeed] Oven request to stop
2026-09-17,16:00:54,KRISCO,170.5,60.0,160.5,Sucess,[outfeed] Oven request to stop
2026-09-17,16:13:50,KRISCO,160.5,60.0,151.0,Sucess,[outfeed] Oven request to stop
2026-09-17,16:26:19,KRISCO,151.5,60.0,141.5,Sucess,[outfeed] Oven request to stop
2026-09-17,16:38:50,KRISCO,142.0,60.0,132.5,Sucess,[outfeed] Oven request to stop
2026-09-17,16:51:21,KRISCO,132.5,60.0,123.0,Sucess,[outfeed] Oven request to stop
2026-09-17,17:03:41,KRISCO,123.5,60.0,114.0,Sucess,[outfeed] Oven request to stop
2026-09-17,17:16:06,KRISCO,114.0,60.0,105.0,Sucess,[outfeed] Oven request to stop
2026-09-17,17:28:18,KRISCO,105.0,60.0,95.5,Sucess,[outfeed] Oven request to stop
2026-09-17,17:30:54,KRISCO,99.5,180.0,180.0,Sucess,[Infeed] Required weight reached
2026-09-17,17:40:15,KRISCO,181.0,60.0,171.0,Sucess,[outfeed] Oven request to stop
2026-09-17,17:53:01,KRISCO,171.5,60.0,161.0,Sucess,[outfeed] Oven request to stop
2026-09-17,18:06:07,KRISCO,161.5,60.0,151.5,Sucess,[outfeed] Oven request to stop
2026-09-17,18:19:00,KRISCO,152.0,60.0,142.0,Sucess,[outfeed] Oven request to stop
2026-09-17,18:32:04,KRISCO,142.0,60.0,132.0,Sucess,[outfeed] Oven request to stop
2026-09-17,18:44:53,KRISCO,132.5,60.0,122.5,Sucess,[outfeed] Oven request to stop
2026-09-17,18:57:27,KRISCO,123.0,60.0,113.0,Sucess,[outfeed] Oven request to stop
2026-09-17,19:09:59,KRISCO,113.5,60.0,104.0,Sucess,[outfeed] Oven request to stop
2026-09-17,19:22:08,KRISCO,104.5,60.0,95.5,Sucess,[outfeed] Oven request to stop
2026-09-17,19:24:45,KRISCO,99.5,180.0,180.0,Sucess,[Infeed] Required weight reached
2026-09-17,19:34:15,KRISCO,180.5,60.0,170.5,Sucess,[outfeed] Oven request to stop
2026-09-17,19:47:31,KRISCO,171.0,60.0,161.0,Sucess,[outfeed] Oven request to stop
2026-09-17,20:00:44,KRISCO,161.0,60.0,151.5,Sucess,[outfeed] Oven request to stop
2026-09-17,20:13:06,KRISCO,151.5,60.0,142.0,Sucess,[outfeed] Oven request to stop
2026-09-17,20:25:59,KRISCO,142.0,60.0,132.5,Sucess,[outfeed] Oven request to stop
2026-09-17,20:38:23,KRISCO,132.5,60.0,123.5,Sucess,[outfeed] Oven request to stop
2026-09-17,20:50:32,KRISCO,123.5,60.0,114.0,Sucess,[outfeed] Oven request to stop
2026-09-17,21:02:34,KRISCO,114.5,60.0,105.0,Sucess,[outfeed] Oven request to stop
2026-09-17,23:21:12,KRISCO,10.0,180.0,180.0,Sucess,[Infeed] Required weight reached
